Safety Property Mostyn V11,"Old Verifier (tptp)
IV Base","Old Verifier (tptp)
IV Step","Old Verifier
(tptp)
Final IV 
Result","Old Verifier
(tptp)
run time in
seconds","Old Verifier
(tptp)
BMC 100
steps","New Verifier
IV Base","New Verifier
IV Step","New Verifier
IV","New Verifier
BMC 100
Steps","IC3 Result with 
SMTLib
(Does prop hold?)","Consistency
New Verifier IV
and IC3","Consistency
New Verifier BMC
and IC3","Consistency
New Verifier BMC
and New Verifier IV","IC3 Result
(safety & ladder 
tptp)
Does prop hold?","IC3 run time
(seconds)","Consistency
New Verifier IV
and tptp IC3","Consistency
Old Verifier IV
and tptp IC3","Consistency
Old Verifier BMC
and tptp IC3"
2_1_16_SignalReminder_group12,Theorem,Theorem,yes,19.0561454,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0626659,yes,yes,yes
2_1_16_SignalReminder_group13,Theorem,Theorem,yes,18.8917523,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0707651,yes,yes,yes
2_1_16_SignalReminder_group14,Theorem,Theorem,yes,19.0126113,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0642094,yes,yes,yes
2_1_16_SignalReminder_group15,Theorem,Theorem,yes,18.8973016,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0641873,yes,yes,yes
2_1_16_SignalReminder_group16,Theorem,Theorem,yes,19.1741336,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0678126,yes,yes,yes
2_1_16_SignalReminder_group17,Theorem,CounterSatisfiable,no,18.9754419,CounterSatisfiable,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0643235,yes,yes,yes
2_1_16_SignalReminder_group18,Theorem,Theorem,yes,18.709258,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0653177,yes,yes,yes
2_1_16_SignalReminder_group19,Theorem,Theorem,yes,18.9429755,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0663484,yes,yes,yes
2_1_16_SignalReminder_group2,Theorem,Theorem,yes,19.0665649,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0647538,yes,yes,yes
2_1_16_SignalReminder_group20,Theorem,Theorem,yes,19.1352353,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0651625,yes,yes,yes
2_1_16_SignalReminder_group21,Theorem,CounterSatisfiable,no,19.1490714,CounterSatisfiable,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0637602,yes,yes,yes
2_1_16_SignalReminder_group22,Theorem,Theorem,yes,19.1830845,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0692801,yes,yes,yes
